-763.000000 -343.000000 -394.000000, 117.000000 653.000000 -614.000000, 138.000000 712.000000 -604.000000, -578.000000 -427.000000 -515.000000, 367.000000 677.000000 -639.000000, 534.000000 -604.000000 292.000000, 429.000000 -524.000000 465.000000, -621.000000 -338.000000 -456.000000, 320.000000 727.000000 -769.000000, 687.000000 -503.000000 352.000000, 
-736.732910 -436.068146 -385.898743, 167.509293 592.714722 -676.835693, 177.979630 733.727600 -642.971558, -612.771545 -498.150269 -458.208435, 324.732025 636.366577 -639.274353, 521.638977 -551.716370 308.683807, 89.406822 -401.260803 262.135284, -365.605499 -350.542084 -92.257462, 274.461182 676.473694 -773.803345, 639.802307 -481.337555 382.437256, 
-715.059021 -421.725311 -392.588898, 174.984680 581.814758 -685.954285, 186.324951 734.683228 -649.816711, -602.293152 -468.193970 -447.091156, 326.641296 634.894226 -636.579590, 507.980011 -533.252991 348.969940, -115.108841 -353.324768 166.075119, -227.014984 -342.985565 92.272530, 278.131897 674.320312 -779.246948, 613.954895 -476.789490 407.738525, 
-718.261719 -426.864288 -398.411102, 178.287613 579.226807 -690.822327, 188.128967 732.765259 -653.622131, -596.186096 -464.457520 -442.924377, 327.169830 634.833252 -634.877930, 507.275146 -528.519043 353.923889, -111.845604 -352.465393 160.139450, -231.324127 -343.722046 97.372475, 282.712585 674.674866 -780.229919, 619.887207 -477.956848 406.467407, 
-721.536133 -432.485382 -404.185333, 180.110321 578.241028 -694.281372, 187.827713 731.519592 -656.771301, -591.113647 -459.572632 -437.997620, 326.876221 634.932678 -632.877930, 504.449097 -523.166199 359.760162, -108.479332 -351.751465 153.352829, -235.658875 -344.340088 103.427467, 287.171387 674.753967 -779.880249, 626.034790 -481.253784 402.790894, 
-723.409851 -436.968597 -408.887909, 181.024445 577.999573 -696.775818, 186.758423 730.714905 -659.531494, -587.890625 -455.403442 -433.680847, 326.141785 635.264465 -631.037109, 501.598938 -517.791138 365.686493, -105.950577 -351.002655 146.664795, -239.148788 -345.021790 109.592377, 291.321289 674.350342 -779.049438, 631.347900 -485.510223 398.111176, 
-724.393616 -440.372314 -412.544098, 181.395355 577.953308 -698.823792, 185.585953 730.293579 -662.617798, -586.119873 -452.090607 -430.151093, 324.969391 635.716309 -629.055176, 499.642517 -513.248596 370.657135, -104.560883 -350.343597 141.779678, -241.045929 -345.656464 114.324043, 295.323883 673.666870 -777.864807, 634.781738 -489.576172 393.628082, 
-724.898438 -442.606018 -415.082611, 181.915268 578.048828 -700.611450, 184.427307 730.098328 -665.857727, -585.344177 -449.860687 -427.625092, 323.681885 636.519958 -627.188782, 498.340851 -509.566193 374.890778, -103.778503 -349.794006 138.045059, -242.091629 -346.197906 118.011604, 298.990295 673.067078 -776.817810, 636.756226 -493.095215 389.560577, 
-725.030029 -444.182129 -416.833557, 182.146637 578.239685 -701.994080, 183.601120 729.936218 -668.740417, -584.885010 -448.280823 -425.880493, 322.437714 637.423523 -625.421570, 497.676117 -506.955353 377.882568, -103.397446 -349.466919 135.253922, -242.696213 -346.520752 120.783829, 302.360657 671.921814 -775.750793, 637.680603 -495.654175 386.620239, 
-725.083069 -445.176025 -418.014069, 182.236053 578.371460 -702.856873, 183.088150 729.918213 -671.639038, -584.672974 -447.276215 -424.692017, 321.308075 638.048401 -623.968384, 497.306580 -505.144287 379.984497, -103.243530 -349.285339 133.243607, -243.052582 -346.699463 122.788567, 305.260803 670.678406 -774.734680, 638.024719 -497.452301 384.533997, 
-725.068359 -445.851685 -418.787354, 182.256592 578.597961 -703.351135, 182.788513 730.032654 -673.869080, -584.540588 -446.590973 -423.912201, 320.314972 638.598022 -622.914307, 497.196808 -503.824890 381.237823, -103.173538 -349.207245 131.904785, -243.224274 -346.776489 124.131981, 307.351898 669.701294 -774.071655, 638.212341 -498.758179 383.291992, 
