-160.000000 100.000000 410.000000, -434.000000 490.000000 -284.000000, -305.000000 490.000000 -105.000000, -398.000000 585.000000 -202.000000, -642.000000 133.000000 150.000000, 494.000000 91.000000 -336.000000, -319.000000 289.000000 665.000000, 581.000000 88.000000 -491.000000, 454.000000 197.000000 -296.000000, -246.000000 474.000000 -276.000000, 
-167.100037 135.071121 505.495941, -398.933380 465.194489 -271.025543, -290.231567 493.140717 -118.192451, -368.046906 595.464417 -199.765015, -519.016663 -6.176181 21.886547, 457.254120 77.304237 -355.768707, -225.508377 206.373383 606.593933, 524.940735 130.208176 -468.302521, 434.394012 211.366806 -343.260101, -241.931885 496.374573 -262.819244, 
-164.334137 131.159042 496.475159, -387.058533 454.655792 -258.718658, -284.618958 487.991852 -116.636238, -361.768707 599.510132 -197.656570, -519.012573 -6.173396 21.881012, 448.128540 68.404320 -342.932587, -217.639435 197.674881 600.146851, 517.276672 142.017197 -457.097595, 435.290985 215.125656 -343.581482, -232.769196 505.226898 -263.019226, 
-163.917007 130.181198 488.798584, -381.126099 450.294434 -251.826813, -280.316956 484.763306 -115.938789, -360.041718 599.364868 -195.988083, -519.012634 -6.173396 21.881012, 444.553680 66.719398 -337.905609, -211.719620 190.912949 598.014465, 511.710236 143.972305 -451.959442, 435.070099 216.310593 -340.495178, -228.977966 511.969513 -263.425751, 
-165.497955 131.876785 481.702271, -377.969086 448.039398 -248.077271, -276.330902 482.846161 -116.012993, -360.517120 598.229126 -194.011658, -519.012634 -6.173396 21.881012, 443.349640 66.288460 -335.155090, -206.384628 184.509262 598.631775, 507.188019 144.000839 -450.347992, 435.551086 216.983093 -337.382965, -227.877975 517.057190 -263.950073, 
-168.774857 135.712448 475.320740, -376.199463 446.580292 -245.698090, -272.590332 481.860718 -116.570480, -362.011047 596.808838 -191.984375, -519.012634 -6.173396 21.881012, 443.361115 66.105194 -333.068298, -201.038589 178.049377 600.716919, 502.629608 143.908844 -450.484314, 436.891968 217.360352 -334.480469, -228.009354 521.088989 -264.614288, 
-172.570450 140.359390 470.646942, -375.132019 445.460938 -243.710846, -268.896088 481.458771 -117.352356, -363.624329 595.384216 -190.023972, -519.012695 -6.173396 21.881012, 444.237000 66.045738 -331.065460, -196.294464 172.176010 602.764282, 497.544373 143.806976 -451.543793, 438.949371 217.574478 -331.623932, -228.697876 524.298340 -265.363556, 
-175.973602 144.633392 467.758179, -374.463470 444.497223 -241.933212, -265.487488 481.470337 -118.320633, -365.194855 594.112183 -188.232498, -519.012512 -6.173396 21.881012, 445.790649 66.063828 -328.928986, -192.494186 167.377670 604.066528, 491.897400 143.721619 -452.950287, 441.526947 217.647568 -328.781128, -229.714203 526.967957 -266.209412, 
-178.667816 147.895813 466.229401, -374.008118 443.666870 -240.120926, -262.196686 481.829620 -119.342262, -366.510223 592.974854 -186.651016, -519.012695 -6.173396 21.881012, 447.857025 66.140427 -326.681396, -189.651413 163.917664 604.737671, 486.012085 143.597366 -454.332489, 444.388824 217.535675 -326.097595, -230.835114 529.164856 -267.156311, 
-180.582718 150.267563 465.499146, -373.735870 442.935150 -238.199600, -259.007416 482.407959 -120.389809, -367.638153 591.942505 -185.242905, -519.012634 -6.173396 21.881012, 450.210968 66.249016 -324.704346, -187.686340 161.476837 605.077576, 480.270569 143.534027 -455.437195, 447.395844 217.399033 -323.749359, -232.038147 530.902222 -268.155548, 
-181.918884 151.954147 465.102631, -373.520264 442.225830 -236.219513, -256.161774 483.188507 -121.319931, -368.513336 591.128601 -184.123154, -519.012695 -6.173396 21.881012, 452.451630 66.312973 -323.257751, -186.328156 159.757950 605.191895, 475.370148 143.500732 -456.094269, 450.113800 217.310699 -322.018616, -233.262817 532.236389 -269.142792, 
