-328.000000 -406.000000 302.000000, -272.000000 -456.000000 150.000000, 602.000000 598.000000 24.000000, 479.000000 -430.000000 595.000000, -687.000000 -260.000000 -177.000000, -722.000000 -256.000000 -36.000000, -710.000000 -204.000000 -63.000000, 531.000000 687.000000 -180.000000, -516.000000 -127.000000 -154.000000, -550.000000 -389.000000 -53.000000, 
-287.410706 -335.827240 263.720703, -249.994781 -369.149384 135.965195, 498.655670 616.503113 15.409280, 500.065430 -449.349518 464.086151, -675.128845 -270.760071 -200.222351, -713.548157 -304.532990 -45.479477, -686.709778 -175.043915 -69.454414, 466.179749 657.334167 -110.303787, -553.970215 -173.807205 -148.545700, -560.814697 -333.649597 -81.733826, 
-281.198669 -341.267242 260.574646, -253.309631 -366.526642 127.588577, 494.959442 621.153259 20.430689, 500.071198 -449.343048 464.029846, -683.134888 -274.345917 -212.793701, -715.311096 -316.351135 -60.148014, -691.720459 -171.814926 -75.362434, 471.001068 651.286316 -111.904114, -561.828735 -179.698105 -156.149475, -565.266724 -324.699188 -93.119186, 
-276.382172 -345.188049 259.338104, -256.484650 -364.053162 122.936142, 491.597107 625.514465 23.325558, 500.071198 -449.342987 464.029877, -688.985596 -275.175232 -217.406662, -715.068848 -320.042969 -66.326256, -693.896179 -172.471848 -77.793228, 474.787659 646.387390 -113.120110, -565.721619 -180.703171 -161.738998, -566.086975 -320.884674 -98.141708, 
-272.988861 -348.078827 258.755920, -259.271179 -361.722687 120.399551, 489.037933 628.884460 24.774700, 500.071167 -449.343048 464.029846, -693.194214 -275.270721 -219.000992, -714.181702 -322.018677 -68.927513, -694.061584 -173.233368 -77.781837, 477.495422 642.829285 -113.781158, -568.197998 -180.552963 -165.849030, -565.986267 -318.817108 -101.587616, 
-270.552734 -350.056213 258.498474, -261.497192 -359.943390 119.130943, 487.270935 631.501404 25.606369, 500.071198 -449.342987 464.029846, -696.136475 -275.068054 -219.365005, -713.185547 -323.059631 -69.627975, -693.237610 -173.877060 -76.671013, 479.331879 640.123779 -113.991562, -570.067383 -180.268570 -168.850983, -565.576477 -317.615295 -103.776230, 
-268.816711 -351.319946 258.267944, -263.152710 -358.760529 118.416420, 485.982483 633.307678 26.025265, 500.071167 -449.343048 464.029846, -698.439636 -274.666534 -219.021378, -712.321899 -323.600189 -69.631104, -691.571472 -174.144363 -75.132828, 480.646698 638.286926 -114.048546, -571.471313 -180.175934 -171.798477, -565.076721 -316.838959 -105.430122, 
-267.627991 -352.141205 258.229187, -264.321198 -357.960938 118.153847, 484.952606 634.538208 26.241276, 500.071167 -449.343048 464.029846, -700.450989 -274.318665 -218.483002, -711.528992 -323.981750 -69.377930, -689.486694 -174.285934 -73.326332, 481.686096 637.047302 -114.051796, -572.893311 -180.277802 -174.917999, -564.766296 -316.314453 -106.837410, 
-266.852295 -352.617340 258.195160, -265.089600 -357.493622 118.025581, 484.289368 635.320801 26.369167, 500.071167 -449.342987 464.029877, -702.356140 -273.972382 -217.799850, -710.873352 -324.222015 -69.002975, -687.013489 -174.380157 -71.758408, 482.352631 636.262512 -114.005676, -574.152649 -180.487198 -178.189941, -564.438293 -315.887482 -108.084656, 
-266.301270 -352.950958 258.161316, -265.637604 -357.164856 117.947311, 483.850616 635.854736 26.409216, 500.071167 -449.343048 464.029877, -703.743652 -273.686920 -217.148804, -710.525818 -324.332703 -68.715225, -684.196594 -174.411087 -70.296890, 482.791260 635.729065 -113.995163, -575.315369 -180.675522 -181.198792, -564.300110 -315.873810 -109.085739, 
-265.934906 -353.158325 258.154297, -266.002960 -356.959045 117.920731, 483.494751 636.247314 26.400408, 500.071198 -449.342957 464.029877, -705.117798 -273.280609 -216.538269, -710.360107 -324.176819 -68.505997, -681.281738 -174.398361 -68.919281, 483.146423 635.337158 -114.014427, -576.437988 -180.969360 -183.858673, -564.200928 -316.087158 -110.147049, 
