-370.000000 400.000000 -330.000000, -358.000000 235.000000 -165.000000, -137.000000 364.000000 -719.000000, -239.000000 135.000000 -698.000000, -10.000000 -236.000000 563.000000, -519.000000 210.000000 -380.000000, 206.000000 -115.000000 -673.000000, -337.000000 181.000000 -707.000000, 128.000000 -239.000000 653.000000, -29.000000 -6.000000 649.000000, 
-396.509125 352.762756 -356.030121, -437.547607 242.634949 -207.789734, -163.091232 331.520905 -610.091431, -182.343124 186.771973 -589.576660, -1.958550 -177.463013 572.704956, -527.194824 241.049316 -328.462463, 221.816818 -94.204636 -533.441040, -307.059998 248.575043 -622.283386, 122.865265 -160.812653 644.515564, 31.107903 -38.073475 629.437683, 
-412.605927 336.600586 -358.703400, -453.844696 252.222076 -214.019867, -161.246170 338.841187 -599.018433, -165.862030 191.058441 -579.862061, -9.963053 -171.849091 581.199768, -543.572449 247.778763 -329.005798, 221.816818 -94.204643 -533.441040, -298.010315 261.645477 -615.124878, 125.016556 -154.233566 644.762390, 34.920155 -31.489649 627.914062, 
-417.502075 319.779785 -360.723633, -460.855225 254.404343 -215.960419, -158.240250 342.727722 -596.740784, -159.104172 193.613571 -580.226257, -14.109095 -168.818237 589.217407, -554.064209 248.341446 -331.441620, 221.816818 -94.204643 -533.441040, -292.971832 264.745483 -612.956665, 126.039307 -151.979645 641.792725, 36.969219 -27.527929 625.766479, 
-418.745331 306.563721 -362.117340, -465.462067 256.653870 -215.719696, -156.299026 344.729553 -595.644104, -155.519669 194.982620 -581.882202, -17.057884 -167.085724 596.224731, -561.279907 250.522552 -332.413330, 221.816772 -94.204643 -533.441040, -290.504456 265.691101 -610.940735, 126.933380 -151.275360 638.172241, 38.635647 -25.252911 623.846313, 
-418.596802 296.197662 -362.785583, -468.534821 259.032867 -214.858185, -155.523178 345.799805 -595.075073, -153.526855 195.712967 -583.499573, -19.049738 -165.927902 601.884705, -565.449097 253.685364 -332.991333, 221.815353 -94.206711 -533.435608, -289.420685 266.047028 -609.382263, 127.579056 -151.281387 634.783325, 40.090515 -23.999393 622.433105, 
-418.303162 288.299225 -362.933960, -470.681213 261.087555 -214.073288, -155.247650 346.449554 -594.789246, -152.298920 196.124664 -584.875061, -20.624332 -164.966660 606.393799, -567.708496 256.748535 -333.615387, 221.815353 -94.206711 -533.435547, -288.871796 266.239441 -608.145386, 127.769798 -151.694092 631.688293, 41.332909 -23.253088 621.451294, 
-417.975586 282.229950 -362.699097, -472.292694 262.733337 -213.458008, -155.126373 346.806488 -594.557312, -151.611710 196.331100 -586.104065, -21.641750 -164.135880 609.874756, -568.896301 259.403564 -334.186096, 221.815353 -94.206711 -533.435669, -288.628326 266.491241 -607.134766, 127.857132 -152.334961 629.046326, 42.360710 -22.841204 620.882751, 
-417.512878 277.692810 -362.100616, -473.608948 263.868134 -213.015366, -155.020462 347.015991 -594.373779, -151.132889 196.482193 -587.192200, -22.305195 -163.432831 612.442322, -569.320312 261.716766 -334.967712, 221.815338 -94.206711 -533.435608, -288.535278 266.748932 -606.184387, 127.818954 -153.047348 626.982117, 43.293652 -22.604208 620.551147, 
-417.126526 274.310913 -361.371216, -474.776276 264.681549 -212.632996, -154.935852 347.166656 -594.251038, -150.874634 196.559906 -588.094543, -22.854109 -162.799149 614.360046, -569.408997 263.551392 -335.679871, 221.815353 -94.206718 -533.435608, -288.503815 266.987701 -605.359253, 127.605957 -153.753738 625.363037, 44.150833 -22.431103 620.349487, 
-416.872101 271.725769 -360.691345, -475.699158 265.294006 -212.381439, -154.781067 347.194214 -594.217773, -150.764954 196.584167 -588.823730, -23.296848 -162.242188 615.746704, -569.323364 265.008972 -336.416168, 221.815353 -94.206718 -533.435608, -288.553101 267.245789 -604.590454, 127.352074 -154.470917 624.110596, 44.934757 -22.346865 620.266663, 
-416.695099 269.842865 -360.006348, -476.560150 265.714630 -212.206955, -154.624847 347.176147 -594.209106, -150.720001 196.494400 -589.463684, -23.661570 -161.635956 616.927917, -569.187805 266.088409 -337.080139, 221.815353 -94.206711 -533.435547, -288.561646 267.515778 -603.843018, 127.127678 -155.139297 623.078918, 45.697418 -22.264950 620.165649, 
-416.522766 268.459320 -359.376312, -477.283264 266.052704 -212.050613, -154.439102 347.138306 -594.207275, -150.752823 196.421204 -590.056396, -24.015970 -161.081253 617.829285, -569.048889 266.861664 -337.664917, 221.815353 -94.206711 -533.435608, -288.591919 267.767761 -603.215881, 126.853363 -155.757370 622.252625, 46.434059 -22.203514 620.116211, 
-416.375336 267.413239 -358.813812, -477.996307 266.233215 -211.960281, -154.227356 347.090057 -594.277283, -150.869644 196.362564 -590.591736, -24.306934 -160.609894 618.476074, -568.893860 267.525848 -338.313141, 221.815338 -94.206711 -533.435669, -288.659668 268.101898 -602.596802, 126.596916 -156.306702 621.612488, 47.077778 -22.166880 620.117676, 
-416.281921 266.630035 -358.281342, -478.693024 266.338074 -211.923996, -153.974014 347.021088 -594.376282, -150.989288 196.269012 -590.996338, -24.509045 -160.126434 618.982117, -568.771301 268.065643 -338.979279, 221.815353 -94.206703 -533.435608, -288.682739 268.431274 -602.048828, 126.424461 -156.825592 621.090149, 47.648636 -22.137554 620.136353, 
-416.175415 266.064606 -357.784912, -479.316528 266.426788 -211.893478, -153.691422 346.928711 -594.539917, -151.140747 196.172043 -591.335938, -24.658026 -159.737595 619.366150, -568.661682 268.456665 -339.575867, 221.815353 -94.206711 -533.435547, -288.710144 268.769440 -601.533569, 126.291916 -157.252014 620.716675, 48.182381 -22.123384 620.129761, 
-416.147949 265.651794 -357.328430, -479.935242 266.502686 -211.864532, -153.482758 346.837311 -594.636414, -151.312317 196.066254 -591.661194, -24.816816 -159.374939 619.700256, -568.524109 268.705841 -340.156097, 221.815384 -94.206711 -533.435547, -288.770844 269.085327 -601.045532, 126.156326 -157.638382 620.418701, 48.648098 -22.121048 620.099426, 
-416.110748 265.337891 -356.890320, -480.511627 266.608429 -211.788269, -153.254181 346.746216 -594.730469, -151.420090 195.976181 -591.938721, -24.992878 -159.023438 619.970764, -568.400330 268.860687 -340.679718, 221.815353 -94.206718 -533.435547, -288.780182 269.328705 -600.657776, 126.011894 -157.948685 620.199768, 49.052200 -22.106030 620.054626, 
-416.047241 265.168243 -356.506775, -480.948700 266.707672 -211.746765, -153.053391 346.672699 -594.824097, -151.569260 195.896683 -592.138062, -25.136841 -158.694916 620.115845, -568.302368 268.902466 -341.057068, 221.815384 -94.206711 -533.435547, -288.802979 269.567444 -600.332153, 125.882057 -158.222809 620.073242, 49.389275 -22.081112 620.037720, 
-415.973511 265.004578 -356.155182, -481.337433 266.783478 -211.714783, -152.927963 346.621582 -594.900635, -151.676285 195.813507 -592.267395, -25.222357 -158.444229 620.225830, -568.212097 268.934021 -341.425598, 221.815353 -94.206703 -533.435547, -288.799377 269.756226 -600.097351, 125.773010 -158.470886 619.962158, 49.684765 -22.056837 620.037292, 
-415.891388 264.926910 -355.870514, -481.661072 266.831665 -211.689362, -152.818298 346.574677 -594.967529, -151.803848 195.738220 -592.402588, -25.245520 -158.285645 620.248291, -568.128113 268.952362 -341.720459, 221.815338 -94.206711 -533.435608, -288.813812 269.916351 -599.891602, 125.746376 -158.656296 619.937561, 49.950359 -22.062649 620.038391, 
-415.824768 264.852722 -355.648743, -481.955231 266.841858 -211.686264, -152.685501 346.520508 -595.059448, -151.903961 195.688812 -592.503174, -25.342028 -158.091370 620.340271, -568.039368 268.994537 -342.017853, 221.815353 -94.206711 -533.435608, -288.828339 270.091980 -599.692261, 125.656471 -158.827179 619.818115, 50.154640 -22.056143 620.059631, 
