-754.000000 -526.000000 19.000000, -717.000000 -397.000000 -51.000000, -728.000000 -448.000000 153.000000, -318.000000 -463.000000 469.000000, -744.000000 -720.000000 -60.000000, -335.000000 625.000000 691.000000, -539.000000 -442.000000 -38.000000, -534.000000 -735.000000 -138.000000, -783.000000 -491.000000 -150.000000, -706.000000 -681.000000 106.000000, 
-706.870300 -535.848633 12.731017, -688.138062 -380.020142 -32.451122, -667.373840 -425.955688 117.005394, -261.161194 -534.898010 540.940308, -709.514893 -677.494263 -73.962402, -452.172699 508.796295 694.443420, -553.857056 -463.704193 -8.779957, -566.916016 -668.832031 -87.809433, -718.588196 -530.909668 -123.717201, -644.022827 -658.911133 65.989838, 
-705.436279 -532.801147 23.557932, -674.166870 -361.432892 -33.897385, -646.654053 -410.166138 111.402718, -261.161194 -534.897949 540.940430, -717.113098 -678.106323 -74.518448, -452.220917 508.794922 694.536804, -545.885010 -465.704926 -7.502003, -567.210266 -649.121704 -86.822838, -698.267700 -527.262329 -110.986153, -631.355652 -654.494324 63.288372, 
-705.896301 -528.653442 35.382191, -664.332214 -354.735168 -36.292377, -633.225464 -399.330292 108.837135, -261.161194 -534.898071 540.940430, -720.164368 -678.203918 -72.674126, -452.220917 508.794922 694.536804, -543.052917 -470.896576 -7.609307, -567.451660 -641.351868 -88.447838, -690.503357 -522.099854 -103.556610, -623.290527 -652.744934 61.545959, 
-705.489258 -524.987854 44.996788, -657.278625 -352.311646 -38.529732, -624.200684 -389.869720 106.374069, -261.161194 -534.898132 540.940430, -721.425659 -676.997803 -69.013672, -452.220917 508.794922 694.536743, -542.788940 -477.386383 -7.179644, -568.016418 -638.270020 -91.176086, -688.589966 -518.841797 -98.495796, -617.085083 -652.490601 59.913414, 
-704.499634 -522.113159 52.480877, -651.473755 -351.314728 -40.497978, -617.816223 -382.700104 103.662132, -261.161163 -534.898010 540.940430, -722.524658 -676.065918 -65.043365, -452.220917 508.794922 694.536743, -544.052185 -484.777679 -6.598825, -569.284180 -637.767151 -94.727554, -689.032959 -517.105530 -94.558975, -612.291565 -653.121338 57.890736, 
-703.276062 -519.553894 57.910000, -647.493958 -351.522766 -42.176708, -613.899536 -378.012177 101.494705, -261.161194 -534.898010 540.940491, -723.600220 -675.445618 -61.487713, -452.220917 508.794922 694.536804, -545.215576 -490.542114 -5.633870, -570.630737 -638.638245 -97.754356, -690.618225 -516.354126 -91.550507, -609.531189 -654.843811 55.724163, 
-702.385376 -517.164795 61.441154, -644.708069 -352.059204 -43.405056, -611.407654 -375.335297 100.272789, -261.161133 -534.898010 540.940430, -724.515381 -675.406738 -58.089382, -452.220917 508.794922 694.536743, -546.036438 -494.518799 -4.945254, -572.181824 -639.369324 -100.423027, -692.342529 -515.790955 -89.138168, -607.274292 -656.288147 53.908443, 
-701.337036 -515.234375 64.135300, -642.545227 -352.689240 -44.506271, -609.618469 -373.076172 99.136826, -261.161194 -534.898010 540.940430, -725.831116 -675.266846 -54.314972, -452.220917 508.794922 694.536743, -547.093323 -497.423340 -4.540957, -574.321411 -639.979309 -102.920959, -693.960266 -515.533752 -87.715935, -605.230469 -657.243347 52.405472, 
-700.633972 -513.489319 65.919891, -640.872375 -353.230072 -45.417599, -608.505615 -371.537170 98.210823, -261.161194 -534.898071 540.940491, -727.131287 -674.879272 -50.922359, -452.220917 508.794922 694.536804, -547.781799 -499.368042 -4.367579, -576.131897 -640.308655 -104.521439, -695.243835 -515.536987 -86.676422, -603.521606 -658.281738 51.217373, 
-699.911316 -512.350403 67.282753, -639.845886 -353.519135 -46.126728, -607.823914 -370.510498 97.518814, -261.161194 -534.898071 540.940430, -727.720215 -674.755859 -48.154251, -452.220917 508.794922 694.536804, -548.273193 -500.692474 -4.030429, -577.814758 -640.417175 -105.628212, -696.350159 -515.261047 -85.760628, -602.300598 -659.238403 50.232586, 
