346.000000 -595.000000 -576.000000, -443.000000 -356.000000 -37.000000, 390.000000 -544.000000 -663.000000, 339.000000 -557.000000 -675.000000, -400.000000 -313.000000 -35.000000, 340.000000 -495.000000 -674.000000, 583.000000 -363.000000 -608.000000, 33.000000 399.000000 256.000000, -529.000000 817.000000 446.000000, -733.000000 551.000000 435.000000, 
407.411621 -555.332947 -526.865295, -476.778595 -337.424774 -100.878731, 477.339996 -544.471802 -654.867676, 341.807404 -579.586304 -693.416870, -375.737457 -236.789154 -95.872749, 366.359436 -422.246063 -639.353394, 521.710632 -426.346985 -592.932678, -82.482346 488.457642 348.823212, -580.787903 734.951416 343.368652, -653.459961 622.288574 338.809265, 
415.700378 -548.188110 -524.161194, -463.469666 -324.041138 -100.157013, 501.784454 -550.308533 -663.587463, 357.721893 -567.147644 -683.322998, -366.651367 -227.798431 -95.451248, 373.930298 -415.831238 -632.183472, 519.744934 -423.931641 -587.468628, -82.707359 488.678345 349.011139, -587.325867 739.788757 342.981171, -647.391296 618.691467 338.843384, 
420.523346 -546.990723 -523.915588, -456.184784 -316.407837 -99.980232, 513.116455 -548.701782 -665.461182, 365.304199 -560.117554 -678.112122, -360.733307 -222.157043 -95.054306, 377.629333 -413.173279 -630.164978, 520.026123 -421.622711 -584.794312, -82.707359 488.678375 349.011169, -594.227234 744.088074 342.732758, -640.104614 614.877563 339.114746, 
423.556702 -547.286926 -523.962341, -452.141998 -311.732513 -99.905182, 518.147949 -546.357971 -666.440979, 369.481445 -556.836914 -676.134338, -356.791412 -218.765976 -94.752884, 379.235687 -411.597839 -628.913269, 520.251526 -420.003418 -582.771179, -82.707344 488.678375 349.011169, -600.490967 747.009766 342.409668, -633.632812 612.347534 339.452576, 
425.594757 -547.953552 -524.109741, -450.040039 -308.443542 -99.937576, 520.399841 -544.228271 -667.376099, 371.633545 -555.196655 -675.344543, -353.867706 -216.929276 -94.475517, 379.839600 -410.777100 -627.851440, 520.270691 -419.004089 -581.097473, -82.707344 488.678375 349.011139, -605.579346 748.710449 342.031097, -628.445679 610.935242 339.839569, 
427.028748 -548.720642 -524.306946, -449.406128 -305.635925 -100.083466, 521.478943 -542.135498 -668.429443, 372.763123 -554.502258 -675.030945, -351.296234 -216.415604 -94.169937, 380.038330 -410.504883 -626.991394, 520.182678 -418.444885 -579.502197, -82.707359 488.678345 349.011169, -609.404602 749.608765 341.676971, -624.578735 610.239258 340.197723, 
428.195648 -549.599976 -524.636169, -450.168610 -302.429810 -100.266418, 521.984436 -540.078979 -669.580200, 373.366913 -554.211731 -674.874695, -348.359161 -217.331497 -93.866890, 379.901062 -410.431488 -626.139099, 519.973816 -418.148651 -577.990662, -82.707359 488.678375 349.011169, -612.084167 749.977783 341.437134, -621.893860 609.865234 340.438019, 
429.217285 -550.565369 -524.962769, -452.406250 -298.224152 -100.342369, 522.182922 -538.094055 -670.780090, 373.615601 -554.117310 -674.734863, -344.653381 -220.003815 -93.695404, 379.734650 -410.510284 -625.377808, 519.695374 -418.075806 -576.406555, -82.707352 488.678345 349.011169, -613.882324 750.137329 341.227112, -620.092102 609.699707 340.648407, 
430.086487 -551.390503 -525.297363, -455.857727 -292.617401 -100.327995, 522.283813 -536.088806 -671.940979, 373.706512 -554.085815 -674.598877, -340.144012 -224.604019 -93.637840, 379.594574 -410.547791 -624.796021, 519.407532 -418.152222 -574.712708, -82.707359 488.678345 349.011169, -615.111633 750.168335 341.067017, -618.862305 609.588440 340.808685, 
430.911957 -552.243347 -525.649597, -459.769409 -286.008972 -100.031525, 522.269958 -534.028320 -673.074036, 373.720184 -554.124390 -674.488892, -335.671204 -230.716782 -93.892120, 379.432526 -410.648621 -624.209656, 519.135559 -418.313293 -572.928650, -82.707359 488.678375 349.011169, -615.935974 750.231079 340.951843, -618.034241 609.591675 340.924286, 
431.527405 -553.000305 -525.987793, -463.003601 -279.308807 -99.643051, 522.277100 -531.950989 -674.107788, 373.701141 -554.200562 -674.394104, -332.086090 -237.159897 -94.256470, 379.320740 -410.728119 -623.720520, 518.838257 -418.647736 -570.965942, -82.707344 488.678345 349.011169, -616.474487 750.207336 340.861389, -617.495056 609.545105 341.014954, 
432.197418 -553.716736 -526.394287, -465.135773 -273.423889 -99.217522, 522.276062 -529.669006 -675.225952, 373.716888 -554.320312 -674.310913, -329.712433 -242.911697 -94.667732, 379.213013 -410.769257 -623.370789, 518.505188 -419.022614 -568.876099, -82.707344 488.678375 349.011169, -616.830872 750.191284 340.795807, -617.137695 609.521851 341.080841, 
432.748840 -554.406311 -526.778931, -466.360291 -268.856964 -98.880829, 522.298401 -527.285400 -676.221252, 373.810852 -554.498962 -674.203064, -328.422791 -247.428345 -94.999451, 379.069885 -410.828583 -623.064514, 518.096069 -419.441193 -566.621399, -82.707352 488.678345 349.011139, -616.991211 750.144775 340.712860, -616.976562 609.473938 341.164429, 
433.271820 -555.136475 -527.170837, -467.031128 -265.483215 -98.581482, 522.343933 -524.721130 -677.239380, 373.938843 -554.696899 -674.113342, -327.797058 -250.781616 -95.297554, 378.934692 -410.900635 -622.826416, 517.580994 -420.081635 -564.074585, -82.707352 488.678375 349.011169, -617.142029 750.154663 340.639893, -616.824951 609.483765 341.237732, 
433.718903 -555.968323 -527.653687, -467.283386 -263.184235 -98.415306, 522.408508 -521.909729 -678.136597, 374.075287 -554.922974 -674.058716, -327.442383 -253.054794 -95.460205, 378.732452 -411.003906 -622.496216, 516.972473 -420.791992 -561.303894, -82.707359 488.678375 349.011139, -617.224609 750.181274 340.638336, -616.742126 609.510681 341.239136, 
434.144073 -556.836121 -528.189331, -467.376038 -261.644897 -98.304649, 522.503296 -519.176575 -678.861816, 374.382904 -555.170898 -674.094543, -327.258118 -254.579544 -95.568352, 378.504974 -411.110260 -622.198914, 516.359924 -421.506989 -558.657776, -82.707352 488.678375 349.011139, -617.275024 750.177612 340.650330, -616.691711 609.507324 341.227112, 
434.626801 -557.721924 -528.719116, -467.387573 -260.625305 -98.226913, 522.592041 -516.425232 -679.543823, 374.830322 -555.463562 -674.161743, -327.141754 -255.590149 -95.643761, 378.213959 -411.262939 -621.763794, 515.786377 -422.235382 -556.240967, -82.707344 488.678436 349.011139, -617.313416 750.158691 340.671204, -616.652710 609.488403 341.206299, 
435.115997 -558.543884 -529.251587, -467.362457 -259.955780 -98.181686, 522.714722 -513.837036 -680.074341, 375.276611 -555.742737 -674.256531, -327.057495 -256.254364 -95.686874, 377.851898 -411.492950 -621.198303, 515.259155 -422.886292 -554.088135, -82.707344 488.678436 349.011139, -617.336548 750.145142 340.679749, -616.629333 609.474976 341.197815, 
435.641235 -559.318481 -529.792236, -467.350616 -259.532562 -98.129234, 522.779724 -511.449707 -680.525879, 375.717926 -555.979431 -674.443970, -327.017487 -256.675659 -95.738335, 377.454803 -411.739319 -620.684509, 514.725708 -423.485809 -552.181335, -82.707352 488.678436 349.011139, -617.357239 750.143066 340.689331, -616.608582 609.473022 341.188202, 
436.229492 -560.028870 -530.310303, -467.343109 -259.222992 -98.082657, 522.794128 -509.290558 -680.986816, 376.182739 -556.180115 -674.621155, -326.994049 -256.984406 -95.784348, 377.035065 -411.975281 -620.095459, 514.295288 -424.005493 -550.693848, -82.707352 488.678345 349.011169, -617.372559 750.141602 340.706604, -616.593201 609.471558 341.170746, 
436.825073 -560.732300 -530.801392, -467.336243 -259.007111 -98.053185, 522.810486 -507.409241 -681.299377, 376.624542 -556.324341 -674.812988, -326.978424 -257.199646 -95.813423, 376.617401 -412.220428 -619.457336, 513.875366 -424.434998 -549.402283, -82.707352 488.678375 349.011169, -617.385620 750.141602 340.718658, -616.580078 609.471558 341.158691, 
437.332764 -561.305786 -531.243286, -467.339447 -258.855988 -98.035561, 522.790039 -505.804474 -681.565491, 377.001862 -556.435059 -675.022095, -326.976654 -257.350769 -95.831070, 376.208649 -412.429260 -618.888367, 513.499023 -424.778870 -548.411072, -82.707352 488.678345 349.011169, -617.390076 750.143005 340.722168, -616.575439 609.473022 341.155060, 
437.844696 -561.783569 -531.673706, -467.346832 -258.730316 -98.023727, 522.715393 -504.378235 -681.852173, 377.326080 -556.455261 -675.250244, -326.980591 -257.476440 -95.843071, 375.821106 -412.622833 -618.313904, 513.288513 -425.009338 -547.703064, -82.707352 488.678375 349.011169, -617.389587 750.143066 340.724457, -616.575928 609.473022 341.152832, 
438.346313 -562.246033 -532.052856, -467.352173 -258.637268 -98.009216, 522.686646 -503.151062 -682.041199, 377.676941 -556.464294 -675.458923, -326.983612 -257.569580 -95.857689, 375.470947 -412.775513 -617.718689, 513.071350 -425.196381 -547.133911, -82.707359 488.678375 349.011169, -617.389648 750.143005 340.724487, -616.576050 609.472961 341.152863, 
438.833282 -562.613892 -532.361633, -467.357727 -258.573730 -98.000420, 522.607971 -502.103943 -682.251221, 377.934357 -556.460815 -675.576233, -326.987915 -257.633057 -95.866638, 375.154785 -412.944580 -617.119263, 512.931763 -425.324310 -546.651550, -82.707352 488.678345 349.011169, -617.389648 750.143005 340.724487, -616.576111 609.472900 341.152863, 
439.256073 -562.942078 -532.614075, -467.351685 -258.526855 -98.006279, 522.535217 -501.190155 -682.427917, 378.163269 -556.452942 -675.681396, -326.981293 -257.679810 -95.860588, 374.876923 -413.093475 -616.581482, 512.805481 -425.464508 -546.271545, -82.707359 488.678375 349.011139, -617.389587 750.143005 340.724487, -616.575989 609.472900 341.152893, 
439.628571 -563.210938 -532.832886, -467.356110 -258.496613 -98.005211, 522.453918 -500.465851 -682.569153, 378.324554 -556.436340 -675.771423, -326.985291 -257.710144 -95.861778, 374.662964 -413.234589 -616.125000, 512.792419 -425.564697 -546.004211, -82.707359 488.678436 349.011139, -617.389587 750.143005 340.724457, -616.576050 609.473022 341.152893, 
439.927917 -563.438416 -532.994507, -467.364105 -258.473480 -97.994537, 522.394043 -499.891846 -682.689209, 378.472961 -556.417114 -675.839294, -326.992767 -257.733337 -95.872696, 374.492889 -413.354797 -615.713684, 512.759338 -425.634308 -545.803894, -82.707352 488.678436 349.011108, -617.389709 750.143066 340.724487, -616.576050 609.472961 341.152893, 
440.205872 -563.633789 -533.131165, -467.367767 -258.464020 -97.988182, 522.316589 -499.397766 -682.796204, 378.565491 -556.403992 -675.906128, -326.996094 -257.742767 -95.879135, 374.323364 -413.486145 -615.327209, 512.745178 -425.718994 -545.641602, -82.707352 488.678436 349.011169, -617.389587 750.142883 340.724396, -616.576050 609.473022 341.152832, 
440.471649 -563.803406 -533.274292, -467.367126 -258.458893 -97.987411, 522.228271 -498.910492 -682.913879, 378.645050 -556.427429 -675.926636, -326.995392 -257.747864 -95.879883, 374.163116 -413.599640 -615.021790, 512.729370 -425.791138 -545.478027, -82.707344 488.678345 349.011139, -617.389587 750.143005 340.724396, -616.576050 609.473022 341.152863, 
440.720520 -563.956726 -533.367004, -467.367767 -258.457947 -97.987633, 522.163635 -498.501068 -682.989319, 378.722778 -556.456543 -675.925964, -326.996063 -257.748871 -95.879684, 374.004639 -413.723083 -614.737366, 512.700134 -425.834747 -545.354126, -82.707352 488.678375 349.011108, -617.389587 750.143066 340.724487, -616.576050 609.473022 341.152893, 
